GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECIS,SOURCE,NOTES,FATALITIES
500,41UGA,89244,13/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,42UGA,89245,14/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,43UGA,89246,14/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,48UGA,89251,15/07/1997,1997,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Kasese,,Kasese,0.18333,30.08333,3,Inter Press Service (18/7/97),Ugandan army clash with ADF rebels who raided the town (extension of raid on Kasesse town),2
500,46UGA,89249,15/07/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Kasese,0.18333,30.08333,3,Inter Press Service (18/7/97),ADF rebels attack the town killing 10 people and burning houses (extension of raid on Kasesse town),10
500,47UGA,89250,15/07/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Kasese,0.18333,30.08333,1,Inter Press Service (18/7/97),Ugandan army clash with ADF rebels who raided the area. 25 rebels and 49 government soldiers were reportedly killed including ADF commander Muda Mutebi,74
500,44UGA,89247,15/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,45UGA,89248,15/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,49UGA,89252,16/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,50UGA,89253,16/07/1997,1997,2,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Inter Press Service (16/7/97),"28 LRA rebels reported killed in battles ""over the last one week"" in the Kitguma and Gulu area of northern Uganda - DETAILS NOT SPECIFIED. FATALITIES: 14 coded in each area on last reported day of violence (16/7/97)",2
500,51UGA,89254,16/07/1997,1997,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Central 1,Kampala,,Kampala,0.3156,32.5656,1,Inter Press Service (21/7/97),"Grenade attack by Muslim sect on the residence of Hajji Nsereko Mutumba, director of the Foundation for Islamic Development (FID). 5 of his family members were injured",0
500,52UGA,89255,18/07/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Police Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Kasese,0.18333,30.08333,1,Reuters News (20/7/97),Shootout at Kassese police station between suspected ADF rebels and Ugandan police,0
500,55UGA,89258,22/07/1997,1997,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Kasese,,Kyarumba,0.1333,29.95,1,Inter Press Service (23/7/97),ADF rebels attacked and looted the town killing 8 civilians and wounding 13. Several people were abducted,8
500,53UGA,89256,22/07/1997,1997,2,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Central 2,Mubende,,Kyasonzi,0.6833,31.9,2,Reuters News (22/7/97),Battle between UPDF and ADF,0
500,54UGA,89257,22/07/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kasese,,Kyarumba,0.1333,29.95,1,Inter Press Service (23/7/97),Ugandan military battled with ADF rebels who were raiding the area,0
500,56UGA,89259,30/07/1997,1997,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Central 1,Kampala,,Kampala,0.3156,32.5656,1,"Reuters News (31/7/97)(3/8/97), BBC Monitoring Africa (2/8/97)",Grenade attack on crowds of civilians - 8 killed and over 40 wounded (some sources report 8 killed),8
500,57UGA,89260,31/07/1997,1997,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Central 1,Kampala,,Kampala,0.3156,32.5656,1,Reuters News (2/8/97),"Grenade attack - missed target, no one injured",0
500,58UGA,89261,1/8/1997,1997,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Central 1,Kampala,,Kampala,0.3156,32.5656,1,Reuters News (2/8/97),Grenade attack at Nakulabye police post killing 1 child and injuring 7 including 4 police officers,1
500,59UGA,89262,5/8/1997,1997,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Central 1,Kampala,,Kampala,0.3156,32.5656,1,Reuters News (6/8/97),Grenade attack in the outskirts of Kampala city - no casualties (fifth such attack in a week),0
500,60UGA,89263,12/8/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Bundibugyo,,Bubandi,0.65,29.9833,1,"Africa Research Bulletin Vol. 34 No. 8, 1997",Ugandan army battled with ADF rebels - 3 rebels and 2 soldiers were killed in the 30min dawn attack,5
500,61UGA,89264,14/08/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,2,Reuters News (18/8/97),6 rebels were reportedly killed by Ugandan military over two days. FATALITIES: recorded on second day of fighting),0
500,62UGA,89265,15/08/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Gulu,,Gulu,2.76667,32.30556,2,Reuters News (18/8/97),6 rebels were reportedly killed by Ugandan military over two days.,6
500,63UGA,89266,16/08/1997,1997,1,Violence against civilians,Unidentified Armed Group (Uganda),,3,Civilians (Uganda),,7,37,Uganda,Western,Kasese,,Kasese,0.18333,30.08333,1,Reuters News (18/8/97),7 Seminary students and 2 staff members were abducted by the ADF rebels. 2 students were shot and wounded during the attack,1
500,64UGA,89267,24/08/1997,1997,1,Non-violent activity by a conflict actor,LRA: Lord's Resistance Army,,2,,,0,20,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,The Guardian (29/9/97),"LRA rebels cross from Sudan into Kitgum District, Uganda in the first major incursion since the UPDF and SPLA attacked their bases on 9/4/97",0
500,66UGA,89269,28/08/1997,1997,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Kabarole,,Fort Portal,0.69389,30.26639,3,Reuters News (30/8/97),ADF rebels killed 13 people and abducted around 80 when they attacked a trading centre. 1 soldier and 1 rebel were also killed (coded separately),13
500,65UGA,89268,28/08/1997,1997,1,Battle-No change of territory,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Western,Kabarole,,Fort Portal,0.69389,30.26639,3,Reuters News (30/8/97),ADF rebels attacked a trading centre - 1 soldier and 1 rebel were killed during the incident NOTE: death of 'soldier' is only indication that there was military involvement,2
500,67UGA,89270,2/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),5
500,68UGA,89271,3/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),5
500,70UGA,89273,4/9/1997,1997,1,Violence against civilians,ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda,,2,Civilians (Uganda),,7,27,Uganda,Western,Kabarole,,Fort Portal,0.69389,30.26639,3,BBC Monitoring Service: Africa (5/9/97),"ADF looting - 6 people killed, several injured and others believed to have been abducted",6
500,69UGA,89272,4/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),4
500,71UGA,89274,5/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),4
500,72UGA,89275,6/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),4
500,73UGA,89276,7/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),4
500,74UGA,89277,8/9/1997,1997,1,Battle-No change of territory,LRA: Lord's Resistance Army,,2,Military Forces of Uganda (1986-),,1,12,Uganda,Acholi,Kitgum,,Kitgum,3.27833,32.88667,3,Dow Jones International (11/9/97),Army attack on the LRA rebels - almost 2 weeks of fighting 'at locations near Kitgum' leading to the death of at least 40 combatants (deaths coded for the 10/9/97 event),4
